ردیف,رسته,شماره جواز,مدیر واحد صنفی,تلفن 1,تلفن 2,نشانی
204,خرده فروشي سکه طلا,۰۴۶۶۳۶۰۴۸۲,محمد موسوی شوشتری,۸۸۷۷۴۹۱۰,۴۴۲۹۷۰۴۰,"آدرس:  میدان  ونک  خیابان  ولیعصر  بن  بست  صیرفی  بازار  ونک
پلاک  آبی:
کد  پستی:  ۱۹۶۹۹۴۳۱۳۶"
205,خرده فروشي سکه طلا,۱۴۰۲۰۸۵۴۱۲,علی	تاج بخش,۶۶۳۴۰۶۳۲,۴۴۲۹۷۰۴۰,"آدرس:  خیابان  فردوسی  شمالی  نرسیده  به  میدان  فردوسی  مجتمع  تجارت  جهانی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۸۳۷۸۴"
206,خرده فروشي سکه طلا,۰۴۱۵۰۷۷۲۳۹,امیر طاهری فر,۶۶۳۴۰۲۵۶,۴۴۲۹۷۰۴۰,"آدرس:  خیابان  فردوسی  شمالی  چهارراه  کوشک  پاساژاردهالی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۳۳۹۳۴"
207,خرده فروشي سکه طلا,۱۴۰۲۹۳۳۴۰۹,سینا	عجمی خلکانلو,۲۶۴۰۴۸۱۸,۴۴۲۹۷۰۴۰,"آدرس:  بلوار  میرداماد  جنب  مترو  میرداماد  پاساژ  رز  میرداماد
پلاک  آبی:
کد  پستی:  ۱۹۱۹۹۹۳۴۷۵"
208,خرده فروشي سکه طلا,۱۴۰۲۶۸۶۵۲۵,جواد	اسدی فتیده,۴۶۱۴۲۵۶۰,۴۴۲۹۷۰۴۰,"آدرس:  ستارخان  بین  فلکه  اول  و  دوم  پاساژ  زرناب
پلاک  آبی:
کد  پستی:  ۱۴۵۱۷۹۳۸۰۵"
209,خرده فروشي سکه طلا,۰۴۶۶۵۱۷۴۳۹,امیرحسین جانباز,۸۸۸۹۲۸۷۵,۴۴۲۹۷۰۴۰,"آدرس:  کریمخان  پاساژ  نگین  پلاک  ۱۵۱  نیم  طبقه  غربی  واحد  ۴
پلاک  آبی:
کد  پستی:  ۱۵۹۷۶۱۷۶۴۶"
210,خرده فروشي سکه طلا,۱۴۰۲۸۷۹۱۷۴,علی	حسن زاده,۴۴۲۵۰۸۶۱,۴۴۲۹۷۰۴۰,"آدرس:  فلکه  اول  صادقیه  خیابان  ستارخان  پاساژاطلس
پلاک  آبی:
کد  پستی:  ۱۴۵۱۸۷۳۷۱۶"
211,خرده فروشي سکه طلا,۱۴۰۲۲۷۲۲۱۲,هانیه	عادلی,۶۶۳۴۰۶۵۰,۴۴۲۹۷۰۴۰,"آدرس:  فردوسی  شمالی  نرسیده  به  میدان  فردوسی  مجتمع  تجاری  فردوسی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۸۳۷۰۱"
212,خرده فروشي سکه طلا,۱۴۰۲۵۹۱۸۷۳,حامد	دروکی,,۴۴۲۹۷۰۴۰,"آدرس:  تهرانپارس  میدان  رهبر  پاساژشاهی
پلاک  آبی:
کد  پستی:  ۱۶۵۷۹۵۷۵۲۶"
213,خرده فروشي سکه طلا,۱۴۰۲۷۶۵۷۵۲,سیدمحمدرضا هدائی,۴۴۸۳۰۳۸۵,۴۴۲۹۷۰۴۰,"آدرس:  بزرگراه  اشرفی  اصفهانی  پاساژگنجینه۱۲۴
پلاک  آبی:
کد  پستی:  ۱۴۷۳۱۸۷۱۱۵"
214,خرده فروشي سکه طلا,۰۴۶۶۵۴۱۶۸۵,رضا	خاتم ساز,۸۸۹۰۰۲۶۲,۴۴۲۹۷۰۴۰,"آدرس:  میدان  ولیعصر(عج)  بلوار  کشاورز  جنب  فرهگسرای  رسانه  طبقه  همکف
پلاک  آبی:
کد  پستی:  ۱۴۱۶۷۶۳۴۵۱"
215,خرده فروشي سکه طلا,۱۴۰۲۹۰۹۸۰۳,محمد ولیلوقزلباش,۸۶۰۳۴۰۲۵,۴۴۲۹۷۰۴۰,"آدرس:  بلوار  کشاورز  بالاتر  از  میدان  ولی  عصر  بعد  از  کوچه  دانش  کیان  پاساژ  مروارید
پلاک  آبی:
کد  پستی:  ۱۴۱۵۸۵۳۸۷۱"
216,خرده فروشي سکه طلا,۱۴۰۲۸۴۸۴۵۲,محمد جواد	مقدم,۴۴۲۰۹۹۳۸,۴۴۲۹۷۰۴۰,"آدرس:  ستارخان  بین  فلکه  اول  و  دوم  پاساژ  کیمیا
پلاک  آبی:
کد  پستی:  ۱۴۵۱۷۹۳۷۷۵"
217,خرده فروشي سکه طلا,۱۴۰۲۱۱۹۶۲۹,مجید	رضائی,۶۶۷۳۲۸۹۱,۴۴۲۹۷۰۴۰,"آدرس:  خیابان  جمهوری  روبروی  سفارت  انگلیس  نبش  پاساژمحسنی
پلاک  آبی:
کد  پستی:  ۱۱۳۵۹۳۵۴۱۳"
218,خرده فروشي سکه طلا,۱۴۰۲۱۱۸۵۷۹,کامران سلطانی زاده,۳۷۹۹۶۰۰۰,۴۴۲۹۷۰۴۰,"آدرس:  خیابان  اشرفی  اصفهانی  خیابان  پیامبر  مرکزی  پاساژ  گلشن
پلاک  آبی:
کد  پستی:  ۱۴۷۱۷۵۵۱۹۳"
219,خرده فروشي سکه طلا,۱۴۰۲۷۶۷۴۹۹,حسین سیاهلوئی,۷۷۷۱۶۴۷۱,۴۴۲۹۷۰۴۰,"آدرس:  فلکه  دوم  تهرانپارس  ضلع  جنوبشرقی  پاساژ  پارسیان
پلاک  آبی:
کد  پستی:  ۱۶۵۴۶۹۸۱۳۷"
220,خرده فروشي سکه طلا,۱۴۰۲۹۵۲۷۴۶,محمود  جباری,۳۳۱۵۹۵۹۵,۴۴۲۹۷۰۴۰,"آدرس:  بیست  متری  افسریه  بین  ۱۵متری  اول  و  دوم  بازار  بزرگ  افسریه
پلاک  آبی:
کد  پستی:  ۱۷۸۴۷۷۴۱۴۳"
221,خرده فروشي سکه طلا,۱۴۰۲۵۴۸۸۸۳,حسین زارع جعفری,۴۶۱۴۲۷۶۰,۴۴۲۹۷۰۴۰,"آدرس:  ستارخان  بین  فلکه  اول  و  دوم  صادقیه  پاساژ  زرناب
پلاک  آبی:
کد  پستی:  ۱۴۵۱۷۹۳۹۱۶"
222,خرده فروشي سکه طلا,۰۴۶۶۲۸۲۲۹۶,فیض اله واعظی,۸۸۹۰۵۹۶۳,۴۴۲۹۷۰۴۰,"آدرس:  خیابان  کریمخان  زند  بین  آبان  جنوبی  و  استادنجات  الهی
پلاک  آبی:
کد  پستی:  ۱۵۹۸۷۸۵۷۱۶"
223,خرده فروشي سکه طلا,۱۴۰۲۳۲۴۶۸۱,شیرین کامرانی,۰۹۱۲۷۶۴۶۵۱۵,۴۴۲۹۷۰۴۰,"آدرس:  میدان  فردوسی  مجتمع  تجارت  جهانی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۸۴۱۵۹"
224,خرده فروشي سکه طلا,,هادی شاهرودی,,۴۴۲۹۷۰۴۰,"آدرس:
پلاک  آبی:
کد  پستی:"
225,خرده فروشي سکه طلا,۰۴۱۴۰۹۸۱۴۶,بهبود کاویانی,۵۵۵۹۸۴۵۸,۴۴۲۹۷۰۴۰,"آدرس:  خیابان  ۱۵خرداد  زیرزمین  سبزه  میدان
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۳۳۱"
226,خرده فروشي سکه طلا,۱۴۰۲۰۳۲۵۸۷,رضا دانشی مقدم,۵۵۶۱۶۴۸۲,۴۴۲۹۷۰۴۰,"آدرس:  خیابان  ۱۵خرداد  زیر  زمین  سبزه  میدان
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۵۱۷"
227,خرده فروشي سکه طلا,۱۴۰۲۶۷۷۱۷۷,ايوب	سلام زاده سلماسی,۴۴۲۳۶,۴۴۲۹۷۰۴۰,"آدرس:  خيابان  ستارخان  بعد  از  فلکه  اول  صادقيه  نبش  خيابان  هشتم
پلاک  آبی:
کد  پستی:  ۱۴۵۱۶۶۳۴۸۳"
228,خرده فروشي سکه طلا,,سعید قابضی,,۴۴۲۹۷۰۴۰,"آدرس:
پلاک  آبی:
کد  پستی:"
229,خرده فروشي سکه طلا,۱۴۰۲۴۴۰۷۸۶,رضا نصیری آذر ایردموسی,۷۷۳۰۵۴۱۷,۴۴۲۹۷۰۴۰,"آدرس:  حکيميه  خيابان  شهيد  کلثومي  مجتمع  تجاري  مرواريد
پلاک  آبی:
کد  پستی:  ۱۶۵۹۹۷۹۵۸۹"
230,خرده فروشي سکه طلا,,علی یادگاری,,۴۴۲۹۷۰۴۰,"آدرس:
پلاک  آبی:
کد  پستی:"
231,خرده فروشي سکه طلا,۱۴۰۲۶۸۰۷۱۵,علی صادقی,۸۸۹۳۲۴۳۰,۸۸۹۳۲۴۳۱,"آدرس:  خيابان  کريم  خان  زند  بين  آبان  جنوبي  و  ويلا
پلاک  آبی:
کد  پستی:  ۱۵۹۸۷۸۵۴۱۵"
232,خرده فروشي سکه طلا,۰۴۶۶۵۹۲۶۵۷,سید عباس شاورانی,۷۷۲۱۳۸۴۶,۸۸۹۳۲۴۳۱,"آدرس:  ميدان  نبوت  نبش  گلبرگ  شرقي  مرکز  خريد  گاندي  پلاک  ۵۰۱  زيرزمين  واحد  ۳
پلاک  آبی:
کد  پستی:  ۱۶۴۹۶۱۶۵۷۳"
233,خرده فروشي سکه طلا,۱۴۰۲۳۳۱۷۰۱,یوسف اسدی,۳۶۳۴۹۷۴۹,۸۸۹۳۲۴۳۱,"آدرس:  خيابان  ۱۵  خرداد  روبروي  مسجد  امام  خميني  پاساژ  کوثر
پلاک  آبی:
کد  پستی:  ۱۱۱۶۹۵۹۸۹۹"
234,خرده فروشي سکه طلا,۱۴۰۲۴۶۶۱۷۵,ابوالفضل ارطیسی,۴۸۸۱۰۵۶۱,۸۸۹۳۲۴۳۱,"آدرس:  شهرک  راه  آهن  بلوار  اميرکبير  پاساژ  وطن
پلاک  آبی:
کد  پستی:  ۱۴۹۴۸۱۴۶۹۹"
235,خرده فروشي سکه طلا,۱۴۰۲۴۳۵۴۱۴,فربد یعقوبی حریری,۲۶۴۱۳۴۴۶,۸۸۹۳۲۴۳۱,"آدرس:  خيابان  ميرداماد  بعد  از  مسجد  الغدير  پاساژ  پاسارگاد
پلاک  آبی:
کد  پستی:  ۱۹۱۱۶۱۸۸۷۱"
236,خرده فروشي سکه طلا,۱۴۰۲۲۰۲۵۷۹,آرمین اردبیلی,۸۶۰۳۸۰۰۷,۸۸۹۳۲۴۳۱,"آدرس:  خيابان  کريم  خان  نبش  حافظ  مجتمع  تجاري  الماس  کريمخان
پلاک  آبی:
کد  پستی:  ۱۵۹۸۷۳۷۸۶۴"
237,خرده فروشي سکه طلا,۱۴۰۲۵۱۴۴۰۵,سعیده حاجی آقازاده لوحی,۵۶۹۰۷۰۰۰,۸۸۹۳۲۴۳۱,"آدرس:  خيابان  ۱۵  خردادبازار  بزرگ  پاساژدلگشا
پلاک  آبی:
کد  پستی:  ۱۱۶۱۹۶۹۶۱۷"
238,خرده فروشي سکه طلا,۱۴۰۲۰۸۷۹۹۸,مهدی حسینی,۲۲۲۲۸۰۰۰,۸۸۹۳۲۴۳۱,"آدرس:  ميداماد  ميدان  مادر  پاساژگلها
پلاک  آبی:
کد  پستی:  ۱۵۴۷۹۳۳۸۳۴"
239,خرده فروشي سکه طلا,۰۴۶۶۵۶۶۷۳۹,امیر رضا سیادت,۷۷۲۴۶۶۲۵,۸۸۹۳۲۴۳۱,"آدرس:  ميدان  نبوت  نبش  جانبازان  شرقي  مرکز  خريد  گاندي
پلاک  آبی:
کد  پستی:  ۱۶۴۹۶۱۶۵۷۲"
240,خرده فروشي سکه طلا,۰۴۶۶۳۷۳۲۲۸,محمدباقر زینالی فرد خانقاه سفلی,۴۴۲۱۰۳۲۲,۸۸۹۳۲۴۳۱,"آدرس:  خيابان  ستارخان  بين  فلکه  اول  و  دوم  صادقيه  پاساژ  شبنم  طبقه  اول
پلاک  آبی:
کد  پستی:  ۱۴۵۱۷۹۳۸۶۵"
241,خرده فروشي سکه طلا,۱۴۰۲۶۰۱۵۶۱,محسن وفا,۵۵۳۵۴۴۶۶,۸۸۹۳۲۴۳۱,"آدرس:  نازي  آباد  خيابان  مدائن  خيابان  شهيد  جعفري
پلاک  آبی:
کد  پستی:  ۱۸۱۵۶۸۶۵۱۶"
242,خرده فروشي سکه طلا,۰۴۶۶۱۵۵۴۹۵,بهرام اسحاقی,۸۸۰۵۹۲۰۳,۸۸۹۳۲۴۳۱,"آدرس:  خيابان  شيرازشمالي  روبروي  ايرايران  مرکزخريدپاپلي  پلاک  ۲۱۷  زيرزمين
پلاک  آبی:
کد  پستی:  ۱۹۹۱۸۴۴۳۳۶"
243,خرده فروشي سکه طلا,۰۴۱۳۱۴۳۶۲۲,سعدی پهلوان,۵۵۵۹۸۰۰۱,۵۵۶۰۲۲۶۷,"آدرس:  خيابان  ۱۵  خرداد  سبزه  ميدان  پاساژ  طلا  و  جواهر
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۴۱۷"
244,خرده فروشي سکه طلا,۰۴۶۶۰۲۱۸۰۹,مهران فرشاد نیک,۸۸۹۱۹۰۱۴,۵۵۶۰۲۲۶۷,"آدرس:  خيابان  استادنجات  اللهي  خيابان  دکتر  عضدي  جنوبي  ساختمان  مرمر
پلاک  آبی:
کد  پستی:  ۱۵۹۸۷۸۳۹۵۳"
245,خرده فروشي سکه طلا,۱۴۰۲۷۵۰۴۷۰,حمیدرضا فرهاد مهر,۸۸۷۱۷۷۹۳,۵۵۶۰۲۲۶۷,"آدرس:  خيابان  بهشتي  بعداز  قائم  مقام  فراهاني
پلاک  آبی:
کد  پستی:  ۱۵۸۶۷۷۳۱۳۶"
246,خرده فروشي سکه طلا,۱۴۰۲۳۶۴۶۴۴,فرید زنگنه,,۵۵۶۰۲۲۶۷,"آدرس:  پونک  خيابان  اشرفي  اصفهاني  مجتمع  تجاري  بوستان  راهرو  شبنم
پلاک  آبی:
کد  پستی:  ۱۴۷۶۸۹۵۳۶۱"
247,خرده فروشي سکه طلا,,سعید گنجی,,۵۵۶۰۲۲۶۷,"آدرس:
پلاک  آبی:
کد  پستی:"
248,خرده فروشي سکه طلا,۱۴۰۲۰۹۰۱۲۱,منصوره کثیری,۸۸۴۸۷۰۰۱,۵۵۶۰۲۲۶۷,"آدرس:  کوي  نصر  بين  خيابان  ششم  و  هشتم
پلاک  آبی:
کد  پستی:  ۱۴۴۶۸۶۳۱۱۹"
249,خرده فروشي سکه طلا,۱۴۰۲۴۲۰۲۳۱,ابوالفضل جهانی,۵۶۰۷۷۶۲۵,۵۵۶۰۲۲۶۷,"آدرس:  خيابان  امين  الملک  پاساژ  مهر
پلاک  آبی:
کد  پستی:  ۱۳۵۸۸۱۴۱۷۵"
250,خرده فروشي سکه طلا,۱۴۰۲۸۵۰۲۳۲,مجید	روزبهانی,۳۶۸۷۰۵۷۳,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  ۱۵  خرداد  کوچه  تکیه  دولت  پاساژ  احسان
پلاک  آبی:
کد  پستی:  ۱۱۱۴۹۴۸۴۳۲"
251,خرده فروشي سکه طلا,۱۴۰۲۰۶۹۵۲۸,مجید	تشکری,۵۵۵۹۸۰۷۰,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  ۱۵  خرداد  روبروی  میدان  ارگ  پاساژ  دلگشا
پلاک  آبی:
کد  پستی:  ۱۱۶۱۹۶۹۶۳۸"
252,خرده فروشي سکه طلا,۱۴۰۲۴۸۹۰۰۱,علی	هادیان رسنانی,۷۷۹۴۹۱۶۶,۵۵۶۰۲۲۶۷,"آدرس:  میدان  نبوت  کوچه  امام  صادق  ع
پلاک  آبی:
کد  پستی:  ۱۶۴۹۹۶۳۵۸۵"
253,خرده فروشي سکه طلا,۱۴۰۲۴۸۹۷۷۹,محمد عزیزی,۰۲۱۸۸۵۱۹۸۴۵,۵۵۶۰۲۲۶۷,"آدرس:  سهروردي  شمالي  خيابان  برازنده
پلاک  آبی:
کد  پستی:  ۱۵۵۵۷۳۴۷۵۳"
254,خرده فروشي سکه طلا,۱۴۰۲۶۰۸۴۰۷,هومن  قربانی الوارس,۲۶۷۵۰۹۷۲,۵۵۶۰۲۲۶۷,"آدرس:  میدان  هروی  خیابان  گلستان  پنجم  نبش  خیابان  نازک  مجتمع  تجاری  هروی  سنتر
پلاک  آبی:
کد  پستی:  ۱۶۶۹۶۱۴۲۰۰"
255,خرده فروشي سکه طلا,۰۴۶۶۴۹۲۹۹۶,امیرهوشنگ	رمضانی,۶۶۳۴۰۱۹۳,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  فردوسی  شمالی  نبش  تقوی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۱۵۹۱۹"
256,خرده فروشي سکه طلا,۱۴۰۲۶۸۳۴۰۹,حمیدرضا	شهرابی,۳۶۴۱۶۵۰۹,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  جمهوری  اسلامی  چهارراه  استانبول  پاساژ  پروانه
پلاک  آبی:
کد  پستی:  ۱۱۴۴۶۴۴۶۳۳"
257,خرده فروشي سکه طلا,۰۴۱۴۴۰۷۷۵۳,مهدی  کلاهی علمداری,۶۶۷۵۶۵۵۱,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  جمهوری  اسلامی  مقابل  خیابان  بابی  ساندز  پاساژ  آرمان
پلاک  آبی:
کد  پستی:  ۱۱۳۵۸۵۶۷۵۳"
258,خرده فروشي سکه طلا,۱۴۰۲۹۹۷۲۵۵,عباس   جوانیان,۶۶۷۱۶۷۹۲,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  جمهوری  اسلامی  بعداز  خیابان  سی  تیر  ساختمان  ۴۴۳
پلاک  آبی:
کد  پستی:  ۱۱۳۵۸۵۳۷۴۸"
259,خرده فروشي سکه طلا,۰۴۳۸۲۲۲۷۴۲,سیدحسن	قاضی,۵۵۶۱۶۳۵۵,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  ۱۵  خرداد  سبزه  میدان  پاساژ  طلا  وجواهر
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۴۱۴"
260,خرده فروشي سکه طلا,۰۴۶۶۵۷۱۳۳۵,مریم	جلیلی,۴۴۶۰۷۷۹۲,۵۵۶۰۲۲۶۷,"آدرس:  جنت  آباد  بالاتر  از  همت  برج  طوبی
پلاک  آبی:
کد  پستی:  ۱۴۷۵۶۳۸۷۳۷"
261,خرده فروشي سکه طلا,۱۴۰۲۵۱۸۹۵۷,شهرام  اسحاقی,۳۳۹۱۸۹۷۰,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  ۱۵  خرداد  روبروی  مسجد  امام  پاساژ  کوثر
پلاک  آبی:
کد  پستی:  ۱۱۱۶۹۵۹۸۹۵"
262,خرده فروشي سکه طلا,۱۴۰۲۷۱۵۰۹۲,شاهین عسگرزاده,,۵۵۶۰۲۲۶۷,"آدرس:  فاطمی  کوچه  پنجم  بزرگراه  شهید  گمنام  لوتوس
پلاک  آبی:
کد  پستی:  ۱۴۱۴۷۷۵۸۸۳"
263,خرده فروشي سکه طلا,۱۴۰۲۵۴۷۲۴۶,سعید	طاهری,۷۷۹۵۹۶۹۵,۵۵۶۰۲۲۶۷,"آدرس:  نارمک  میدان  نبوت  کوچه  صاحب  الزمان  پاساژآریامن
پلاک  آبی:
کد  پستی:  ۱۶۴۹۹۶۴۶۵۱"
264,خرده فروشي سکه طلا,۱۴۰۲۶۸۵۷۷۷,محمدرضا	لطف اله خواجوی,۶۶۷۱۳۹۱۱,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  جمهوری  نرسیده  به  چهارراه  استانبول  پاساژ  نوین
پلاک  آبی:
کد  پستی:  ۱۱۳۵۹۳۵۸۳۹"
265,خرده فروشي سکه طلا,۱۴۰۲۰۷۱۵۷۸,رضا	خاکی,۴۴۲۱۰۹۶۳,۵۵۶۰۲۲۶۷,"آدرس:  ستارخان  چهارراه  خسرو  پاساژالماس  غرب
پلاک  آبی:
کد  پستی:  ۱۴۵۳۷۴۶۱۳۱"
266,خرده فروشي سکه طلا,۱۴۰۲۴۹۵۵۸۶,علی اصغر	صفاوردی,۴۶۱۲۴۷۱۸,۵۵۶۰۲۲۶۷,"آدرس:  جنت  آباد  جنوبی  پاساژ  الماس
پلاک  آبی:
کد  پستی:  ۱۴۷۳۹۴۳۰۸۸"
267,خرده فروشي سکه طلا,۱۴۰۲۶۲۵۹۶۱,علی	نایبی,۷۷۸۳۶۶۶۶,۵۵۶۰۲۲۶۷,"آدرس:  خیابان  شهید  مدنی  نظام  آباد  بین  خیابان  حیدری  وپل  گلشن  دوست
پلاک  آبی:
کد  پستی:  ۱۶۴۴۶۵۷۳۸۱"
268,خرده فروشي سکه طلا,۰۴۶۶۵۳۷۹۸۰,مراد شکوهی سیاهکلی,۸۸۰۸۹۰۷۶,۵۵۶۰۲۲۶۷,"آدرس:  شهرک  غرب  بلواردرختی  مرکزخرید  سپهر  طبقه  زیرین
پلاک  آبی:
کد  پستی:  ۱۴۶۸۸۱۳۳۷۵"
269,خرده فروشي سکه طلا,۱۴۰۲۰۲۱۱۹۱,مهدی  توحیدلو,۷۷۱۸۶۴۳۲,۵۵۶۰۲۲۶۷,"آدرس:  بلوار  دلاوران،  تکاوران  شمالی،  خیابان  هفتم  مرکزی  پاساژ  زمرد
پلاک  آبی:
کد  پستی:  ۱۶۸۸۸۳۴۷۵۸"
270,خرده فروشي سکه طلا,۰۱۳۳۷۸۷۶۰۵,محسن	پرنظر,۶۶۷۴۸۹۳۶,۶۶۷۱۲۷۵۳,"آدرس:  میدان  فردوسی  ضلع  جنوب  شرقی
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۹۳۱۳۶"
271,خرده فروشي سکه طلا,۱۴۰۲۹۷۳۸۶۸,حسین غلامی پویا,۵۵۷۱۵۶۹۴,۶۶۷۱۲۷۵۳,"آدرس:  امامزاده  حسن  خیابان  امین  الملک  پاساژدیاموند
پلاک  آبی:
کد  پستی:  ۱۳۵۸۸۱۴۳۳۵"
272,خرده فروشي سکه طلا,۱۴۰۲۹۱۹۴۵۵,سعید	پروازی شندی,۴۷۵۶۰۰۰۰,۶۶۷۱۲۷۵۳,"آدرس:  اشرفی  اصفهانی  پونک  مجتمع  تجاری  بوستان  بالای  پله  برقی  سمت  چپ
پلاک  آبی:
کد  پستی:  ۱۴۷۶۸۹۶۵۴۹"
273,خرده فروشي سکه طلا,۰۰۲۹۱۸۹۲۷۵,اسماعيل  جمشيدی,۵۵۵۹۸۱۵۴,۶۶۷۱۲۷۵۳,"آدرس:  خيابان  ۱۵خرداد  سبزه  ميدان  مرکزطلاوجواهر  ايران
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۳۷۹"
274,خرده فروشي سکه طلا,۰۴۱۵۰۷۶۰۱۶,کوروش نایبی,۳۳۹۲۱۵۵۰,۶۶۷۱۲۷۵۳,"آدرس:  خیابان  ۱۵  خرداد  روبروی  مسجد  امام  پاساژ  کوثر
پلاک  آبی:
کد  پستی:  ۱۱۱۶۹۵۹۸۸۳"
275,خرده فروشي سکه طلا,۱۴۰۲۶۸۲۹۴۲,خاطره سادات موسوی حقیقی,۸۸۹۱۳۶۹۴,۶۶۷۱۲۷۵۳,"آدرس:  خیابان  کریمخان  بین  آبان  و  نجات  الهی
پلاک  آبی:
کد  پستی:  ۱۵۹۸۷۸۵۸۱۵"
276,خرده فروشي سکه طلا,۱۴۰۲۲۱۷۸۰۹,امیرهوشنگ	رمضانی,۶۶۳۴۰۱۹۵/۴,۶۶۷۱۲۷۵۳,"آدرس:  خیابان  فردوسی  شمالی  نبش  کوشک
پلاک  آبی:
کد  پستی:  ۱۱۴۵۶۳۳۹۵۴"
277,خرده فروشي سکه طلا,۰۴۱۵۰۸۵۹۸۷,سیدعلی سپهرطبسی فرد,۵۵۵۹۸۲۹۸,۶۶۷۱۲۷۵۳,"آدرس:  خیابان  ۱۵خرداد  زیرزمین  سبزه  میدان  پاساژ  طلا  و  جواهر  ایران
پلاک  آبی:
کد  پستی:  ۱۱۶۱۷۸۳۱۸۹"
278,خرده فروشي سکه طلا,,سیدهانی میرمحمدعلی,۸۸۷۰۰۱۳۳,۶۶۷۱۲۷۵۳,"آدرس:  خیابان  خالد  اسلامبولی  (وزرا  )  نبش  کوچه  یکم
پلاک  آبی:
کد  پستی:  ۱۵۱۳۶۳۸۹۱۴"
279,خرده فروشي سکه طلا,,بهروز	جلیلوندسلوط,,۶۶۷۱۲۷۵۳,"آدرس:
پلاک  آبی:
کد  پستی:"
280,خرده فروشي سکه طلا,۰۴۶۶۵۳۷۵۲۷,حمیدرضا رمضانی,۶۶۷۰۵۶۷۷,۶۶۷۱۲۷۵۳,"آدرس:  خیابان  جمهوری  بین  حافظ  و  سی  تیر
پلاک  آبی:
کد  پستی:  ۱۱۳۵۷۱۵۹۳۱"
281,خرده فروشي سکه طلا,۱۴۰۲۸۱۸۹۸۱,محمود قبه,,۶۶۷۱۲۷۵۳,"آدرس:  میدان  نبوت  خیابان  جانبازان  شرقی 	۰
پلاک  آبی:
کد  پستی:  ۱۶۴۹۶۱۳۱۷۸"
282,خرده فروشي سکه طلا,۱۴۰۲۳۸۰۸۵۲,ثریا جانجان,۸۸۸۰۵۷۸۶,۶۶۷۱۲۷۵۳,"آدرس:  میدان  فاطمی  ضلع  جنوب  شرقی
پلاک  آبی:
کد  پستی:  ۱۴۱۵۸۹۳۳۴۰"
283,خرده فروشي سکه طلا,۱۴۰۲۰۵۱۸۷۲,امیرمحمد ربی,۵۶۸۰۱۲۱۰,۶۶۷۱۲۷۵۳,"آدرس:  نازی  آباد  خیابان  رجایی  خیابان  مشهدی  بن  بست  مهرگان  پاساز  لوتوس  مال
پلاک  آبی:
کد  پستی:  ۱۸۱۴۷۱۲۸۷۸"
284,خرده فروشي سکه طلا,۱۴۰۲۹۹۹۱۵۲,مهدی شایسته مهر,۲۲۲۷۰۰۵۴,۶۶۷۱۲۷۵۳,"آدرس:  میرداماد  میدان  مادر  نبش  خیابان  وزیری  پور  ساختمان  ۷۰۷
پلاک  آبی:
کد  پستی:  ۱۵۴۶۹۳۳۳۶۴"
285,خرده فروشي سکه طلا,۱۴۰۲۹۳۳۵۳۵,محمدناصر	لبانی مطلق,۵۵۶۳۵۸۴۶,۶۶۷۱۲۷۵۳,"آدرس:  خیابان  پانزده  خرداد  سبزه  میدان  پاساژخازنی
پلاک  آبی:
کد  پستی:  ۱۱۶۱۸۳۷۵۶۷"
286,خرده فروشي سکه طلا,,امیر سلمان زاده اردبیلی,,۶۶۷۱۲۷۵۳,"آدرس:
پلاک  آبی:
کد  پستی:"
287,خرده فروشي سکه طلا,۰۴۶۶۵۲۰۲۶۱,بهنام	ایمانی ممان,۵۵۷۳۸۶۷۷,۶۶۷۱۲۷۵۳,"آدرس:  امامزاده  حسن  خیابان  امین  الملک  پاساژ  مرکزی
پلاک  آبی:
کد  پستی:  ۱۳۵۸۸۷۹۶۸۸"
288,خرده فروشي سکه طلا,۱۴۰۲۰۳۵۲۷۹,طاهره بومی,۸۶۰۳۸۰۸۶,۶۶۷۱۲۷۵۳,"آدرس:  کریمخان  زند  تقاطع  حافظ  پاساژ  الماس
پلاک  آبی:
کد  پستی:  ۱۵۹۸۷۳۸۰۶۲"
289,خرده فروشي سکه طلا,۱۴۰۲۰۹۷۹۱۶,حسن	طاهریان,۲۶۷۶۶۵۳۱,۶۶۷۱۲۷۵۳,"آدرس:  سعادت  آباد  میدان  کاج  (شهید  تهرانی  مقدم)  پاساژ  ابریشم
پلاک  آبی:
کد  پستی:  ۱۹۹۸۶۱۴۱۳۸"
